Year,Energy_Consumption,Renewable_Percentage,GDP,CO2_Emissions
2000,517,13.823292,985,816.1634793
2001,516,24.17063596,1334,869.1559927
2002,468,28.36916149,1604,883.8581235
2003,531,19.40121719,1668,947.3722299
2004,483,26.92052012,1254,837.8374919
2005,468,10.32483321,1998,972.3263826
2006,591,11.96520547,1579,974.2530077
2007,597,29.03142909,1242,873.4561441
2008,592,23.05393501,1811,963.4455396
2009,524,26.12290824,1375,864.6518843
2010,481,29.89395565,1367,844.7113308
2011,516,18.99205189,1705,951.7094559
2012,518,12.43500658,1255,836.5242572
2013,477,29.22241578,1637,928.9256795
2014,531,22.89299476,1433,905.6838202
2015,516,24.8812907,1695,926.8840537
2016,484,29.32239996,1452,882.7932532
2017,571,27.54620451,1296,891.6885245
2018,491,28.5806751,1201,792.1199583
2019,518,27.34373685,1858,972.7635004
2020,540,10.94474645,1334,881.2310292
